delta_t,pws_pwf,pws,t_dt
0,0,3420,NaN
0.0833,11,3431,9.36E+04
0.167,15,3435,4.67E+04
0.25,18,3438,3.12E+04
0.5,24.5,3445,1.56E+04
0.75,29,3449,1.04E+04
1,32,3452,7.80E+03
2,43,3463,3.90E+03
3,51,3471,2.60E+03
4,57,3477,1.95E+03
5,62,3482,1.56E+03
6,66,3486,1.30E+03
7,70,3490,1.12E+03
8,75,3495,9.76E+02
9,78,3498,8.68E+02
10,80,3500,7.81E+02
12,86,3506,6.51E+02
24,108,3528,3.26E+02
36,124,3544,2.18E+02
48,135,3555,1.64E+02
60,143,3563,1.31E+02
72,150,3570,1.09E+02
96,162,3582,8.23E+01
120,170,3590,6.60E+01
144,180,3600,5.52E+01
192,190,3610,4.15E+01
240,200,3620,3.35E+01
