td;uf;ic
1,00E-02;0,1772;0,1765
1,50E-02;0,2171;0,2145
2,00E-02;0,2507;0,2456
3,00E-02;0,307;0,2955
4,00E-02;0,3545;0,3356
5,00E-02;0,3963;0,3697
6,00E-02;0,434;0,3996
8,00E-02;0,5007;0,4509
1,00E-01;0,5587;0,4945
1,50E-01;0,679;0,5833
2,00E-01;0,7756;0,6549
3,00E-01;0,9261;0,7691
4,00E-01;1,0417;0,8603
5,00E-01;1,1355;0,9367
6,00E-01;1,2145;1,0027
8,00E-01;1,3427;1,1129
1,00E+00;1,4447;1,203
1,50E+00;1,6344;1,3754
2,00E+00;1,7716;1,5032
3,00E+00;1,9676;1,6894
4,00E+00;2,108;1,8248
5,00E+00;2,2175;1,9312
6,00E+00;2,3073;2,0189
8,00E+00;2,4494;2,1583
1,00E+01;2,56;2,2673
1,50E+01;2,7613;2,4664
2,00E+01;2,9045;2,6085
3,00E+01;3,1065;2,8094
4,00E+01;3,25;2,9524
5,00E+01;3,3614;3,0634
6,00E+01;3,4524;3,1542
8,00E+01;3,5961;3,2976
1,00E+02;3,7075;3,4089
1,50E+02;3,9101;3,6113
2,00E+02;4,0539;3,7549
3,00E+02;4,2566;3,9575
4,00E+02;4,4004;4,1012
5,00E+02;4,5119;4,2127
6,00E+02;4,6031;4,3039
8,00E+02;4,7469;4,4477
1,00E+03;4,8584;4,5592
1,50E+03;5,0612;4,7619
2,00E+03;5,205;4,9057
3,00E+03;5,4077;5,1084
4,00E+03;5,5516;5,2523
5,00E+03;5,6631;5,3638
6,00E+03;5,7543;5,455
8,00E+03;5,8981;5,5988
